['C', 'M', 'D', 'H', 'J', 'G', 'E', 'B', 'O', 'I', 'F', 'N', 'L', 'K', 'A'] 979
['D', 'I', 'M', 'E', 'H', 'L', 'A', 'C', 'O', 'N', 'B', 'J', 'K', 'F', 'G'] 1299
['F', 'H', 'G', 'C', 'J', 'K', 'M', 'L', 'N', 'E', 'B', 'O', 'I', 'D', 'A'] 1187
['D', 'I', 'M', 'H', 'E', 'A', 'C', 'O', 'L', 'N', 'B', 'J', 'K', 'F', 'G'] 1234
['D', 'I', 'A', 'H', 'E', 'M', 'C', 'O', 'N', 'B', 'J', 'L', 'K', 'F', 'G'] 1303
['D', 'H', 'L', 'J', 'G', 'N', 'E', 'C', 'M', 'B', 'O', 'I', 'F', 'K', 'A'] 1192
['D', 'M', 'C', 'H', 'J', 'G', 'E', 'L', 'N', 'O', 'I', 'B', 'K', 'F', 'A'] 1300
['D', 'I', 'M', 'E', 'H', 'L', 'A', 'J', 'G', 'N', 'O', 'C', 'B', 'K', 'F'] 1845
['E', 'B', 'D', 'A', 'H', 'J', 'L', 'O', 'I', 'M', 'K', 'G', 'F', 'N', 'C'] 1213
['O', 'I', 'M', 'E', 'B', 'K', 'H', 'J', 'L', 'D', 'A', 'F', 'C', 'G', 'N'] 1679
['M', 'E', 'B', 'O', 'I', 'F', 'H', 'J', 'L', 'D', 'A', 'K', 'C', 'G', 'N'] 1529
['C', 'M', 'B', 'D', 'F', 'L', 'E', 'G', 'H', 'J', 'N', 'O', 'I', 'K', 'A'] 1806
['C', 'G', 'M', 'B', 'D', 'H', 'J', 'F', 'L', 'E', 'O', 'I', 'K', 'N', 'A'] 1903
['E', 'B', 'D', 'A', 'H', 'J', 'L', 'C', 'M', 'F', 'O', 'I', 'K', 'N', 'G'] 1501
['O', 'I', 'A', 'M', 'B', 'E', 'N', 'C', 'D', 'H', 'J', 'L', 'K', 'F', 'G'] 960
['J', 'I', 'B', 'G', 'A', 'M', 'C', 'E', 'N', 'D', 'H', 'L', 'O', 'K', 'F'] 1383
['I', 'E', 'B', 'G', 'A', 'M', 'C', 'J', 'L', 'D', 'H', 'N', 'O', 'K', 'F'] 1398
['E', 'H', 'J', 'L', 'N', 'B', 'O', 'I', 'K', 'A', 'M', 'C', 'G', 'F', 'D'] 1180
['E', 'B', 'O', 'I', 'A', 'K', 'H', 'J', 'L', 'G', 'F', 'N', 'C', 'D', 'M'] 1372
['C', 'J', 'A', 'H', 'G', 'K', 'M', 'N', 'L', 'E', 'B', 'O', 'I', 'D', 'F'] 1663
['O', 'I', 'M', 'E', 'B', 'K', 'H', 'J', 'L', 'G', 'N', 'F', 'C', 'D', 'A'] 1448
['M', 'E', 'B', 'O', 'I', 'H', 'J', 'L', 'G', 'N', 'F', 'K', 'C', 'D', 'A'] 1603
['M', 'E', 'O', 'I', 'F', 'H', 'J', 'L', 'G', 'N', 'B', 'K', 'C', 'D', 'A'] 1416
['D', 'I', 'M', 'E', 'B', 'K', 'O', 'A', 'C', 'N', 'H', 'J', 'L', 'F', 'G'] 1556
['E', 'O', 'I', 'A', 'C', 'M', 'B', 'K', 'H', 'J', 'L', 'G', 'F', 'N', 'D'] 1313
['O', 'J', 'L', 'N', 'E', 'B', 'I', 'M', 'K', 'H', 'G', 'F', 'C', 'D', 'A'] 1532
['M', 'D', 'E', 'I', 'H', 'L', 'A', 'C', 'O', 'N', 'B', 'J', 'K', 'F', 'G'] 1690
['D', 'M', 'A', 'C', 'H', 'J', 'L', 'N', 'E', 'O', 'I', 'K', 'G', 'F', 'B'] 1498
['M', 'E', 'A', 'B', 'H', 'J', 'O', 'I', 'F', 'N', 'L', 'G', 'C', 'D', 'K'] 1467
