['D', 'A', 'M', 'G', 'B', 'E', 'C', 'O', 'N', 'H', 'J', 'L', 'K', 'F', 'I'] 1308
['C', 'G', 'M', 'J', 'B', 'D', 'H', 'L', 'N', 'E', 'O', 'I', 'K', 'F', 'A'] 1297
['I', 'M', 'O', 'D', 'G', 'N', 'E', 'B', 'J', 'H', 'L', 'K', 'A', 'C', 'F'] 1441
['C', 'I', 'E', 'B', 'J', 'D', 'H', 'L', 'M', 'O', 'G', 'N', 'K', 'F', 'A'] 1497
['O', 'G', 'C', 'J', 'K', 'M', 'D', 'A', 'N', 'E', 'B', 'H', 'L', 'I', 'F'] 1509
['N', 'J', 'M', 'B', 'E', 'A', 'C', 'K', 'G', 'D', 'H', 'L', 'O', 'I', 'F'] 1273
['I', 'G', 'C', 'J', 'K', 'M', 'D', 'A', 'N', 'L', 'E', 'B', 'H', 'F', 'O'] 1627
['I', 'M', 'B', 'J', 'K', 'F', 'D', 'E', 'A', 'C', 'O', 'G', 'H', 'L', 'N'] 1285
['J', 'G', 'I', 'A', 'M', 'B', 'C', 'D', 'H', 'L', 'N', 'E', 'O', 'K', 'F'] 1216
['J', 'G', 'I', 'A', 'M', 'B', 'C', 'D', 'H', 'L', 'N', 'E', 'O', 'K', 'F'] 1216
['J', 'G', 'A', 'M', 'B', 'C', 'D', 'H', 'L', 'N', 'E', 'O', 'K', 'F', 'I'] 1382
['D', 'O', 'I', 'A', 'C', 'M', 'E', 'B', 'K', 'H', 'N', 'J', 'L', 'F', 'G'] 1365
['I', 'E', 'O', 'K', 'F', 'D', 'A', 'H', 'L', 'N', 'J', 'M', 'C', 'B', 'G'] 1293
['I', 'E', 'O', 'K', 'F', 'D', 'A', 'H', 'L', 'N', 'J', 'M', 'C', 'B', 'G'] 1293
['D', 'O', 'I', 'A', 'C', 'M', 'B', 'E', 'N', 'H', 'J', 'L', 'K', 'F', 'G'] 876
['D', 'I', 'M', 'O', 'C', 'E', 'N', 'B', 'K', 'H', 'J', 'L', 'G', 'F', 'A'] 1782
['D', 'M', 'G', 'C', 'H', 'J', 'K', 'A', 'N', 'L', 'E', 'B', 'O', 'I', 'F'] 1608
['M', 'G', 'B', 'J', 'K', 'F', 'D', 'E', 'A', 'C', 'O', 'N', 'H', 'L', 'I'] 1455
['E', 'I', 'O', 'J', 'K', 'F', 'D', 'A', 'H', 'L', 'N', 'M', 'C', 'B', 'G'] 1508
['D', 'I', 'M', 'B', 'G', 'O', 'C', 'E', 'N', 'H', 'J', 'L', 'K', 'F', 'A'] 1182
['E', 'B', 'J', 'D', 'H', 'L', 'O', 'I', 'F', 'K', 'A', 'M', 'C', 'G', 'N'] 1215
['M', 'G', 'E', 'B', 'O', 'I', 'H', 'L', 'K', 'F', 'N', 'J', 'C', 'D', 'A'] 1261
['M', 'H', 'L', 'G', 'I', 'O', 'E', 'B', 'K', 'F', 'N', 'J', 'C', 'D', 'A'] 1087
['H', 'G', 'C', 'J', 'M', 'D', 'A', 'L', 'N', 'E', 'O', 'I', 'K', 'F', 'B'] 1422
['C', 'G', 'M', 'J', 'D', 'H', 'K', 'F', 'N', 'L', 'E', 'B', 'O', 'I', 'A'] 1152
['G', 'M', 'B', 'H', 'L', 'E', 'O', 'I', 'F', 'N', 'J', 'K', 'C', 'D', 'A'] 1219
['C', 'D', 'M', 'H', 'L', 'J', 'G', 'N', 'E', 'B', 'O', 'I', 'K', 'F', 'A'] 1209
['C', 'D', 'M', 'H', 'G', 'J', 'L', 'N', 'E', 'B', 'O', 'I', 'K', 'F', 'A'] 1210
['J', 'G', 'I', 'F', 'M', 'B', 'C', 'D', 'H', 'L', 'N', 'E', 'O', 'K', 'A'] 1194
['O', 'I', 'B', 'J', 'D', 'M', 'E', 'H', 'L', 'K', 'A', 'C', 'G', 'N', 'F'] 1680
['O', 'I', 'A', 'C', 'M', 'D', 'H', 'E', 'B', 'K', 'J', 'L', 'G', 'F', 'N'] 1243
['D', 'O', 'I', 'A', 'C', 'J', 'G', 'M', 'E', 'B', 'K', 'H', 'L', 'F', 'N'] 1472
