['D', 'G', 'E', 'N', 'B', 'L', 'O', 'I', 'K', 'A', 'M', 'C', 'H', 'J', 'F'] 1624
['L', 'I', 'J', 'A', 'M', 'B', 'E', 'C', 'O', 'N', 'H', 'K', 'G', 'F', 'D'] 1009
['H', 'N', 'L', 'K', 'J', 'G', 'E', 'B', 'O', 'I', 'M', 'C', 'A', 'F', 'D'] 961
['E', 'B', 'L', 'I', 'K', 'O', 'A', 'H', 'J', 'N', 'M', 'C', 'G', 'F', 'D'] 1270
['B', 'E', 'N', 'H', 'J', 'L', 'O', 'I', 'K', 'M', 'C', 'D', 'A', 'G', 'F'] 1044
['B', 'L', 'I', 'E', 'O', 'K', 'F', 'G', 'A', 'N', 'H', 'J', 'M', 'C', 'D'] 1152
['M', 'C', 'D', 'A', 'E', 'B', 'O', 'I', 'K', 'H', 'L', 'N', 'J', 'G', 'F'] 1071
['J', 'N', 'E', 'B', 'C', 'D', 'A', 'H', 'L', 'O', 'I', 'K', 'M', 'G', 'F'] 1396
['L', 'N', 'E', 'B', 'D', 'H', 'J', 'G', 'O', 'I', 'K', 'A', 'M', 'C', 'F'] 1061
['H', 'J', 'F', 'N', 'E', 'B', 'O', 'I', 'K', 'G', 'A', 'M', 'C', 'D', 'L'] 1173
['H', 'J', 'L', 'E', 'B', 'K', 'F', 'G', 'A', 'N', 'O', 'I', 'M', 'C', 'D'] 1032
['L', 'B', 'I', 'K', 'E', 'O', 'N', 'H', 'J', 'A', 'G', 'M', 'C', 'F', 'D'] 1955
['B', 'L', 'I', 'K', 'E', 'O', 'N', 'H', 'M', 'J', 'C', 'G', 'F', 'D', 'A'] 1286
['I', 'E', 'B', 'C', 'D', 'A', 'H', 'N', 'J', 'M', 'L', 'K', 'G', 'F', 'O'] 1428
['I', 'E', 'B', 'C', 'D', 'A', 'H', 'N', 'J', 'M', 'L', 'K', 'G', 'F', 'O'] 1428
['B', 'H', 'J', 'L', 'N', 'E', 'O', 'G', 'A', 'M', 'C', 'D', 'I', 'K', 'F'] 1226
