['N', 'E', 'O', 'B', 'D', 'H', 'J', 'L', 'I', 'K', 'A', 'M', 'C', 'G', 'F'] 1099
['N', 'E', 'B', 'D', 'H', 'J', 'L', 'O', 'I', 'K', 'A', 'M', 'C', 'G', 'F'] 1013
['C', 'M', 'E', 'B', 'D', 'H', 'J', 'G', 'O', 'I', 'F', 'N', 'L', 'K', 'A'] 980
['C', 'M', 'D', 'H', 'J', 'G', 'E', 'B', 'O', 'I', 'F', 'N', 'L', 'K', 'A'] 979
['H', 'J', 'I', 'E', 'B', 'K', 'F', 'G', 'A', 'M', 'C', 'D', 'O', 'N', 'L'] 764
['B', 'I', 'E', 'O', 'H', 'J', 'M', 'C', 'D', 'A', 'G', 'N', 'L', 'K', 'F'] 1141
['E', 'C', 'M', 'H', 'J', 'B', 'O', 'I', 'F', 'N', 'L', 'D', 'A', 'G', 'K'] 1313
['E', 'C', 'M', 'H', 'J', 'D', 'G', 'B', 'O', 'I', 'N', 'L', 'K', 'F', 'A'] 1255
['H', 'J', 'N', 'E', 'B', 'O', 'I', 'A', 'C', 'G', 'M', 'L', 'K', 'F', 'D'] 1113
['H', 'J', 'L', 'N', 'E', 'B', 'O', 'I', 'K', 'A', 'G', 'M', 'C', 'F', 'D'] 1052
['H', 'J', 'L', 'N', 'E', 'B', 'O', 'I', 'K', 'A', 'F', 'M', 'C', 'G', 'D'] 1183
['I', 'M', 'D', 'H', 'J', 'G', 'E', 'B', 'C', 'O', 'A', 'L', 'N', 'K', 'F'] 1583
['D', 'E', 'B', 'M', 'C', 'O', 'H', 'A', 'G', 'I', 'F', 'N', 'L', 'K', 'J'] 1030
['C', 'J', 'N', 'E', 'B', 'O', 'M', 'D', 'H', 'G', 'I', 'F', 'L', 'K', 'A'] 1414
['D', 'I', 'M', 'H', 'E', 'O', 'N', 'B', 'J', 'L', 'C', 'A', 'G', 'K', 'F'] 1521
['B', 'I', 'E', 'O', 'N', 'H', 'M', 'C', 'A', 'G', 'J', 'L', 'K', 'F', 'D'] 1417
['B', 'I', 'K', 'E', 'O', 'H', 'J', 'M', 'C', 'A', 'F', 'N', 'L', 'G', 'D'] 1908
['N', 'D', 'H', 'L', 'J', 'G', 'E', 'B', 'O', 'I', 'K', 'A', 'M', 'C', 'F'] 1335
['A', 'D', 'G', 'E', 'H', 'J', 'L', 'O', 'I', 'K', 'B', 'M', 'C', 'N', 'F'] 1787
['A', 'D', 'H', 'J', 'E', 'B', 'O', 'L', 'I', 'K', 'G', 'M', 'C', 'N', 'F'] 1217
['D', 'K', 'F', 'G', 'E', 'B', 'O', 'I', 'J', 'A', 'H', 'L', 'N', 'M', 'C'] 1375
['B', 'L', 'I', 'K', 'E', 'O', 'H', 'N', 'A', 'J', 'M', 'C', 'D', 'G', 'F'] 1504
['I', 'L', 'K', 'E', 'O', 'N', 'H', 'J', 'B', 'M', 'C', 'D', 'A', 'G', 'F'] 921
