['F', 'O', 'G', 'B', 'I', 'A', 'E', 'M', 'L', 'N', 'J', 'K', 'C', 'D', 'H'] 2125
['N', 'O', 'I', 'B', 'E', 'G', 'M', 'A', 'J', 'L', 'H', 'C', 'K', 'F', 'D'] 1687
['O', 'M', 'A', 'I', 'B', 'J', 'N', 'E', 'L', 'H', 'C', 'G', 'K', 'F', 'D'] 1692
['F', 'A', 'O', 'N', 'I', 'C', 'D', 'J', 'H', 'L', 'K', 'G', 'M', 'E', 'B'] 1638
['N', 'O', 'I', 'F', 'A', 'B', 'E', 'G', 'M', 'L', 'J', 'K', 'C', 'D', 'H'] 1921
['F', 'B', 'A', 'O', 'E', 'G', 'M', 'I', 'L', 'N', 'J', 'K', 'C', 'D', 'H'] 1881
['E', 'O', 'D', 'J', 'I', 'K', 'M', 'B', 'H', 'C', 'L', 'N', 'A', 'G', 'F'] 1176
['D', 'E', 'O', 'I', 'K', 'H', 'L', 'N', 'A', 'M', 'C', 'B', 'G', 'J', 'F'] 1811
['D', 'G', 'M', 'B', 'K', 'H', 'C', 'A', 'L', 'E', 'N', 'O', 'I', 'J', 'F'] 2034
['N', 'I', 'O', 'L', 'F', 'E', 'C', 'H', 'J', 'M', 'G', 'K', 'A', 'B', 'D'] 2041
['N', 'I', 'E', 'K', 'A', 'O', 'J', 'L', 'H', 'C', 'F', 'G', 'B', 'M', 'D'] 1691
['O', 'I', 'E', 'J', 'D', 'H', 'L', 'K', 'A', 'M', 'C', 'B', 'G', 'F', 'N'] 1145
['C', 'M', 'J', 'E', 'I', 'H', 'L', 'N', 'K', 'A', 'G', 'F', 'B', 'O', 'D'] 1371
['E', 'O', 'D', 'J', 'F', 'I', 'K', 'A', 'H', 'L', 'N', 'G', 'M', 'C', 'B'] 1689
['E', 'O', 'D', 'J', 'F', 'H', 'K', 'A', 'G', 'I', 'N', 'L', 'M', 'C', 'B'] 2026
